# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=11995
# Generated: 2026-07-20 11:14:53
# WAYPOINTS:
# WP: -0.810000,0.420000,-122.924100,150.378600,50
# WP: 1.820000,0.510000,23.513560,113.993100,50
# WP: -0.710000,2.390000,-56.548480,87.719220,50
# WP: -2.180000,2.030000,-75.065420,60.759090,50
# WP: -1.812190,0.216488,-135.000000,116.578500,50
# WP: -2.891826,-1.069085,-135.000000,53.469210,50
# WP: 3.440591,-0.254590,94.218930,0.027976,50
# WP: 2.368416,2.508603,43.340520,0.027976,50
# WP: 1.841209,2.917608,32.241700,0.027976,50

Time,X,Z,Theta1,Theta2
0.167,-2.650990,-2.187214,-134.195200,10.047980
0.168,-2.652115,-2.185601,-134.190400,10.107980
0.169,-2.653240,-2.183986,-134.185600,10.167980
0.170,-2.654362,-2.182370,-134.180800,10.227980
0.171,-2.655483,-2.180753,-134.175900,10.287980
0.172,-2.656603,-2.179135,-134.171100,10.347980
0.173,-2.657720,-2.177516,-134.166300,10.407980
0.174,-2.658835,-2.175895,-134.161500,10.467980
0.175,-2.659950,-2.174273,-134.156700,10.527980
0.176,-2.661062,-2.172650,-134.151800,10.587980
0.177,-2.662173,-2.171026,-134.147000,10.647980
0.178,-2.663281,-2.169400,-134.142200,10.707980
0.179,-2.664388,-2.167775,-134.137400,10.767980
0.180,-2.665494,-2.166147,-134.132600,10.827980
0.181,-2.666597,-2.164518,-134.127700,10.887980
0.182,-2.667699,-2.162889,-134.122900,10.947980
0.183,-2.668800,-2.161257,-134.118100,11.007980
0.184,-2.669898,-2.159625,-134.113300,11.067980
0.185,-2.670995,-2.157993,-134.108500,11.127980
0.186,-2.672090,-2.156358,-134.103700,11.187980
0.187,-2.673183,-2.154723,-134.098800,11.247980
0.188,-2.674275,-2.153086,-134.094000,11.307980
0.189,-2.675365,-2.151448,-134.089200,11.367980
0.190,-2.676452,-2.149811,-134.084400,11.427980
0.191,-2.677538,-2.148171,-134.079600,11.487980
0.192,-2.678623,-2.146530,-134.074700,11.547980
0.193,-2.679706,-2.144887,-134.069900,11.607980
0.194,-2.680787,-2.143244,-134.065100,11.667980
0.195,-2.681867,-2.141599,-134.060300,11.727980
0.196,-2.682944,-2.139955,-134.055500,11.787980
0.197,-2.684020,-2.138308,-134.050600,11.847980
0.198,-2.685094,-2.136661,-134.045800,11.907980
0.199,-2.686167,-2.135011,-134.041000,11.967980
0.200,-2.687237,-2.133362,-134.036200,12.027980
0.201,-2.688306,-2.131711,-134.031400,12.087980
0.202,-2.689373,-2.130059,-134.026600,12.147980
0.203,-2.690439,-2.128406,-134.021700,12.207980
0.204,-2.691502,-2.126751,-134.016900,12.267980
0.205,-2.692564,-2.125096,-134.012100,12.327980
0.206,-2.693624,-2.123439,-134.007300,12.387980
0.207,-2.694682,-2.121783,-134.002500,12.447980
0.208,-2.695739,-2.120124,-133.997600,12.507980
0.209,-2.696794,-2.118464,-133.992800,12.567980
0.210,-2.697847,-2.116803,-133.988000,12.627980
0.211,-2.698899,-2.115141,-133.983200,12.687980
0.212,-2.699948,-2.113478,-133.978300,12.747980
0.213,-2.700995,-2.111815,-133.973500,12.807980
0.214,-2.702041,-2.110150,-133.968700,12.867980
0.215,-2.703085,-2.108484,-133.963900,12.927980
0.216,-2.704128,-2.106817,-133.959100,12.987980
0.217,-2.705169,-2.105149,-133.954300,13.047980
0.218,-2.706208,-2.103479,-133.949400,13.107980
0.219,-2.707245,-2.101810,-133.944600,13.167980
0.220,-2.708280,-2.100138,-133.939800,13.227980
0.221,-2.709314,-2.098465,-133.935000,13.287980
0.222,-2.710346,-2.096792,-133.930200,13.347980
0.223,-2.711376,-2.095117,-133.925300,13.407980
0.224,-2.712404,-2.093441,-133.920500,13.467980
0.225,-2.713431,-2.091765,-133.915700,13.527980
0.226,-2.714455,-2.090087,-133.910900,13.587980
0.227,-2.715478,-2.088408,-133.906100,13.647980
0.228,-2.716500,-2.086729,-133.901200,13.707980
0.229,-2.717519,-2.085047,-133.896400,13.767980
0.230,-2.718536,-2.083366,-133.891600,13.827980
0.231,-2.719552,-2.081683,-133.886800,13.887980
0.232,-2.720566,-2.079999,-133.882000,13.947980
0.233,-2.721579,-2.078314,-133.877200,14.007980
0.234,-2.722589,-2.076628,-133.872300,14.067980
0.235,-2.723598,-2.074941,-133.867500,14.127980
0.236,-2.724604,-2.073253,-133.862700,14.187980
0.237,-2.725609,-2.071564,-133.857900,14.247980
0.238,-2.726613,-2.069874,-133.853100,14.307980
0.239,-2.727614,-2.068183,-133.848200,14.367980
0.240,-2.728614,-2.066490,-133.843400,14.427980
0.241,-2.729612,-2.064797,-133.838600,14.487980
0.242,-2.730608,-2.063104,-133.833800,14.547980
0.243,-2.731602,-2.061409,-133.829000,14.607980
0.244,-2.732595,-2.059712,-133.824100,14.667980
0.245,-2.733585,-2.058014,-133.819300,14.727980
0.246,-2.734574,-2.056316,-133.814500,14.787980
0.247,-2.735561,-2.054618,-133.809700,14.847980
0.248,-2.736547,-2.052917,-133.804900,14.907980
0.249,-2.737530,-2.051216,-133.800000,14.967980
0.250,-2.738512,-2.049513,-133.795200,15.027980
0.251,-2.739491,-2.047810,-133.790400,15.087980
0.252,-2.740470,-2.046105,-133.785600,15.147980
0.253,-2.741446,-2.044401,-133.780800,15.207980
0.254,-2.742420,-2.042695,-133.776000,15.267980
0.255,-2.743393,-2.040987,-133.771100,15.327980
0.256,-2.744364,-2.039279,-133.766300,15.387980
0.257,-2.745333,-2.037570,-133.761500,15.447980
0.258,-2.746300,-2.035860,-133.756700,15.507980
0.259,-2.747265,-2.034149,-133.751900,15.567980
0.260,-2.748228,-2.032437,-133.747000,15.627980
0.261,-2.749190,-2.030724,-133.742200,15.687980
