# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=2555
# Generated: 2026-07-20 11:52:53
# WAYPOINTS:
# WP: -1.602082,0.270989,-135.000000,124.338000,50
# WP: -1.740000,0.770000,-116.767000,113.485700,50

Time,X,Z,Theta1,Theta2
0.425,-0.851092,3.269180,-25.500000,23.486070
0.426,-0.852969,3.268342,-25.560000,23.541330
0.427,-0.854845,3.267502,-25.620000,23.596600
0.428,-0.856720,3.266661,-25.680000,23.651860
0.429,-0.858594,3.265818,-25.740000,23.707120
0.430,-0.860468,3.264972,-25.800000,23.762380
0.431,-0.862340,3.264125,-25.860000,23.817640
0.432,-0.864212,3.263277,-25.920000,23.872900
0.433,-0.866083,3.262426,-25.980000,23.928160
0.434,-0.867953,3.261573,-26.040000,23.983420
0.435,-0.869822,3.260719,-26.100000,24.038680
0.436,-0.871690,3.259863,-26.160000,24.093950
0.437,-0.873557,3.259005,-26.220000,24.149210
0.438,-0.875423,3.258145,-26.280000,24.204470
0.439,-0.877289,3.257283,-26.340000,24.259730
0.440,-0.879153,3.256420,-26.400000,24.314990
0.441,-0.881017,3.255555,-26.460000,24.370250
0.442,-0.882880,3.254688,-26.520000,24.425510
0.443,-0.884741,3.253819,-26.580000,24.480780
0.444,-0.886603,3.252948,-26.640000,24.536040
0.445,-0.888462,3.252076,-26.700000,24.591300
0.446,-0.890322,3.251201,-26.760000,24.646560
0.447,-0.892180,3.250325,-26.820000,24.701820
0.448,-0.894037,3.249447,-26.880000,24.757080
0.449,-0.895893,3.248567,-26.940000,24.812350
0.450,-0.897749,3.247685,-27.000000,24.867610
0.451,-0.899603,3.246802,-27.060000,24.922870
0.452,-0.901457,3.245917,-27.120000,24.978130
0.453,-0.903310,3.245029,-27.180000,25.033390
0.454,-0.905162,3.244141,-27.240000,25.088650
0.455,-0.907012,3.243250,-27.300000,25.143910
0.456,-0.908862,3.242357,-27.360000,25.199170
0.457,-0.910711,3.241463,-27.420000,25.254430
0.458,-0.912559,3.240567,-27.480000,25.309700
0.459,-0.914406,3.239669,-27.540000,25.364960
0.460,-0.916252,3.238769,-27.600000,25.420220
0.461,-0.918098,3.237868,-27.660000,25.475480
0.462,-0.919942,3.236964,-27.720000,25.530740
0.463,-0.921786,3.236059,-27.780000,25.586000
0.464,-0.923628,3.235152,-27.840000,25.641260
0.465,-0.925469,3.234244,-27.900000,25.696530
