# ROBOT PARAMETERS: Arm1=1.8460, Arm2=1.6040, MaxSpeed=120.00, Samples=9249
# Generated: 2026-07-15 16:00:29
# WAYPOINTS:
# WP: -1.560000,2.380000,-65.005420,69.049390,100
# WP: -2.750000,1.160000,-94.978820,60.372510,29
# WP: -0.460000,1.640000,-69.218830,121.331200,19
# WP: -1.410000,0.470000,-127.873900,129.558900,100
# WP: -2.080000,-0.150000,-141.803900,105.993100,50
# WP: 1.360000,1.060000,-1.193326,120.519100,50
# WP: 2.380000,1.570000,24.972110,68.724780,50
# WP: 2.690000,0.380000,46.951810,76.325600,50
# WP: 1.580000,2.640000,5.972063,53.944580,50

Time,X,Z,Theta1,Theta2
0.269,-0.880930,3.195497,-30.389490,32.280000
0.270,-0.883871,3.193646,-30.502460,32.400000
0.271,-0.886809,3.191789,-30.615430,32.520000
0.272,-0.889743,3.189925,-30.728400,32.640000
0.273,-0.892673,3.188056,-30.841370,32.760000
0.274,-0.895600,3.186180,-30.954340,32.880000
0.275,-0.898523,3.184299,-31.067310,33.000000
0.276,-0.901442,3.182410,-31.180290,33.120000
0.277,-0.904358,3.180516,-31.293260,33.240000
0.278,-0.907270,3.178616,-31.406230,33.360000
0.279,-0.910178,3.176709,-31.519210,33.480000
0.280,-0.913082,3.174797,-31.632180,33.600000
0.281,-0.915982,3.172878,-31.745150,33.720000
0.282,-0.918879,3.170953,-31.858120,33.840000
0.283,-0.921772,3.169022,-31.971090,33.960000
0.284,-0.924661,3.167085,-32.084060,34.080000
0.285,-0.927547,3.165142,-32.197040,34.200000
0.286,-0.930428,3.163192,-32.310010,34.320000
0.287,-0.933306,3.161237,-32.422980,34.440000
0.288,-0.936180,3.159275,-32.535950,34.560000
0.289,-0.939050,3.157308,-32.648930,34.680000
0.290,-0.941916,3.155334,-32.761900,34.800000
0.291,-0.944778,3.153354,-32.874870,34.920000
0.292,-0.947637,3.151369,-32.987840,35.040000
0.293,-0.950491,3.149377,-33.100810,35.160000
0.294,-0.953341,3.147379,-33.213780,35.280000
0.295,-0.956188,3.145375,-33.326760,35.400000
0.296,-0.959031,3.143365,-33.439730,35.520000
0.297,-0.961869,3.141349,-33.552700,35.640000
0.298,-0.964704,3.139328,-33.665670,35.760000
0.299,-0.967535,3.137300,-33.778640,35.880000
0.300,-0.970362,3.135266,-33.891620,36.000000
0.301,-0.973184,3.133226,-34.004590,36.120000
0.302,-0.976003,3.131180,-34.117560,36.240000
0.303,-0.978818,3.129128,-34.230530,36.360000
0.304,-0.981629,3.127070,-34.343510,36.480000
0.305,-0.984435,3.125006,-34.456480,36.600000
0.306,-0.987238,3.122937,-34.569450,36.720010
0.307,-0.990037,3.120861,-34.682420,36.840000
0.308,-0.992831,3.118780,-34.795390,36.960000
0.309,-0.995621,3.116692,-34.908370,37.080000
0.310,-0.998407,3.114599,-35.021340,37.200000
0.311,-1.001190,3.112500,-35.134310,37.320000
0.312,-1.003968,3.110394,-35.247280,37.440000
0.313,-1.006741,3.108284,-35.360260,37.560000
0.314,-1.009511,3.106167,-35.473220,37.680000
0.315,-1.012277,3.104044,-35.586200,37.800000
0.316,-1.015038,3.101915,-35.699170,37.920000
0.317,-1.017795,3.099781,-35.812140,38.040000
0.318,-1.020548,3.097641,-35.925110,38.160000
0.319,-1.023297,3.095494,-36.038090,38.280000
0.320,-1.026042,3.093342,-36.151060,38.400000
0.321,-1.028782,3.091184,-36.264030,38.520000
0.322,-1.031518,3.089021,-36.377010,38.640000
0.323,-1.034250,3.086851,-36.489970,38.760000
0.324,-1.036977,3.084676,-36.602950,38.880000
0.325,-1.039701,3.082495,-36.715920,39.000000
0.326,-1.042420,3.080308,-36.828890,39.120000
0.327,-1.045134,3.078116,-36.941860,39.240000
0.328,-1.047845,3.075917,-37.054840,39.360000
0.329,-1.050551,3.073713,-37.167810,39.480000
0.330,-1.053252,3.071503,-37.280780,39.600000
0.331,-1.055950,3.069288,-37.393750,39.720000
0.332,-1.058643,3.067067,-37.506730,39.840000
0.333,-1.061331,3.064840,-37.619690,39.960000
0.334,-1.064016,3.062607,-37.732670,40.080000
0.335,-1.066695,3.060369,-37.845640,40.200000
0.336,-1.069371,3.058125,-37.958610,40.320000
0.337,-1.072042,3.055875,-38.071580,40.440000
0.338,-1.074708,3.053619,-38.184560,40.560000
0.339,-1.077371,3.051358,-38.297530,40.680000
0.340,-1.080028,3.049092,-38.410500,40.800000
0.341,-1.082682,3.046819,-38.523470,40.920000
0.342,-1.085331,3.044541,-38.636440,41.040000
0.343,-1.087975,3.042257,-38.749420,41.160000
0.344,-1.090615,3.039968,-38.862390,41.280000
0.345,-1.093250,3.037673,-38.975360,41.400010
0.346,-1.095881,3.035373,-39.088330,41.520000
0.347,-1.098507,3.033067,-39.201310,41.640000
0.348,-1.101129,3.030755,-39.314280,41.760000
0.349,-1.103746,3.028438,-39.427250,41.880000
0.350,-1.106359,3.026115,-39.540220,42.000000
0.351,-1.108967,3.023786,-39.653190,42.120000
0.352,-1.111571,3.021452,-39.766170,42.240000
0.353,-1.114169,3.019113,-39.879140,42.360000
0.354,-1.116764,3.016768,-39.992110,42.480000
0.355,-1.119353,3.014417,-40.105080,42.600000
0.356,-1.121938,3.012061,-40.218050,42.720000
0.357,-1.124519,3.009700,-40.331020,42.840000
0.358,-1.127095,3.007333,-40.444000,42.960000
0.359,-1.129666,3.004960,-40.556970,43.080000
0.360,-1.132232,3.002582,-40.669940,43.200000
0.361,-1.134794,3.000199,-40.782920,43.320000
0.362,-1.137351,2.997810,-40.895890,43.440000
0.363,-1.139904,2.995415,-41.008860,43.560000
0.364,-1.142452,2.993015,-41.121830,43.680000
0.365,-1.144995,2.990610,-41.234800,43.800000
0.366,-1.147533,2.988199,-41.347770,43.920000
0.367,-1.150066,2.985783,-41.460750,44.040000
0.368,-1.152595,2.983362,-41.573720,44.160000
0.369,-1.155119,2.980935,-41.686690,44.280000
0.370,-1.157638,2.978503,-41.799660,44.400000
0.371,-1.160153,2.976065,-41.912640,44.520000
0.372,-1.162663,2.973622,-42.025600,44.640000
0.373,-1.165167,2.971174,-42.138580,44.760010
0.374,-1.167667,2.968720,-42.251550,44.880000
0.375,-1.170163,2.966261,-42.364520,45.000000
0.376,-1.172653,2.963796,-42.477490,45.120000
0.377,-1.175139,2.961327,-42.590460,45.240000
0.378,-1.177619,2.958852,-42.703440,45.360000
0.379,-1.180095,2.956372,-42.816410,45.480000
0.380,-1.182566,2.953886,-42.929380,45.600000
0.381,-1.185032,2.951395,-43.042350,45.720000
0.382,-1.187494,2.948899,-43.155330,45.840000
0.383,-1.189950,2.946397,-43.268300,45.960000
0.384,-1.192401,2.943891,-43.381270,46.080000
0.385,-1.194847,2.941379,-43.494240,46.200000
0.386,-1.197289,2.938862,-43.607220,46.320000
0.387,-1.199726,2.936339,-43.720190,46.440000
0.388,-1.202157,2.933812,-43.833160,46.560000
0.389,-1.204584,2.931279,-43.946130,46.680000
0.390,-1.207005,2.928741,-44.059100,46.800000
0.391,-1.209422,2.926198,-44.172080,46.920000
0.392,-1.211833,2.923650,-44.285050,47.040000
0.393,-1.214240,2.921096,-44.398020,47.160000
0.394,-1.216642,2.918538,-44.510990,47.280000
0.395,-1.219038,2.915974,-44.623960,47.400000
0.396,-1.221430,2.913405,-44.736930,47.520000
0.397,-1.223817,2.910831,-44.849910,47.640000
0.398,-1.226198,2.908252,-44.962880,47.760000
0.399,-1.228574,2.905668,-45.075850,47.880000
0.400,-1.230945,2.903078,-45.188820,48.000000
0.401,-1.233312,2.900484,-45.301800,48.120000
0.402,-1.235673,2.897884,-45.414770,48.240000
0.403,-1.238029,2.895280,-45.527740,48.360000
0.404,-1.240380,2.892670,-45.640710,48.480000
0.405,-1.242725,2.890056,-45.753680,48.600000
0.406,-1.245066,2.887436,-45.866660,48.720000
0.407,-1.247401,2.884811,-45.979630,48.840000
0.408,-1.249732,2.882182,-46.092600,48.960000
0.409,-1.252057,2.879547,-46.205570,49.080000
0.410,-1.254377,2.876907,-46.318550,49.200000
0.411,-1.256691,2.874263,-46.431510,49.320000
0.412,-1.259001,2.871613,-46.544490,49.440010
0.413,-1.261305,2.868958,-46.657460,49.560000
0.414,-1.263604,2.866299,-46.770430,49.680000
0.415,-1.265898,2.863634,-46.883400,49.800000
0.416,-1.268187,2.860965,-46.996370,49.920000
0.417,-1.270470,2.858291,-47.109350,50.040000
0.418,-1.272748,2.855611,-47.222320,50.160000
0.419,-1.275021,2.852927,-47.335290,50.280000
0.420,-1.277289,2.850238,-47.448270,50.400000
0.421,-1.279552,2.847544,-47.561240,50.520000
0.422,-1.281808,2.844846,-47.674210,50.640000
0.423,-1.284060,2.842142,-47.787180,50.760000
0.424,-1.286307,2.839433,-47.900150,50.880000
0.425,-1.288548,2.836720,-48.013130,51.000000
0.426,-1.290783,2.834002,-48.126100,51.120000
0.427,-1.293014,2.831279,-48.239070,51.240000
0.428,-1.295239,2.828551,-48.352040,51.360000
0.429,-1.297458,2.825819,-48.465010,51.480000
0.430,-1.299673,2.823081,-48.577980,51.600000
0.431,-1.301882,2.820339,-48.690960,51.720000
0.432,-1.304085,2.817592,-48.803930,51.840000
0.433,-1.306283,2.814841,-48.916900,51.960000
0.434,-1.308476,2.812084,-49.029870,52.080000
0.435,-1.310664,2.809323,-49.142850,52.200000
0.436,-1.312845,2.806558,-49.255820,52.320000
0.437,-1.315022,2.803787,-49.368790,52.440000
0.438,-1.317193,2.801012,-49.481760,52.560010
0.439,-1.319358,2.798232,-49.594730,52.680000
0.440,-1.321519,2.795447,-49.707710,52.800000
0.441,-1.323673,2.792658,-49.820680,52.920000
0.442,-1.325822,2.789864,-49.933650,53.040000
0.443,-1.327966,2.787066,-50.046620,53.160000
0.444,-1.330104,2.784263,-50.159600,53.280000
0.445,-1.332237,2.781455,-50.272570,53.400000
0.446,-1.334364,2.778642,-50.385540,53.520000
0.447,-1.336486,2.775825,-50.498510,53.640000
0.448,-1.338601,2.773004,-50.611480,53.760000
0.449,-1.340712,2.770178,-50.724460,53.880000
0.450,-1.342817,2.767347,-50.837430,54.000000
0.451,-1.344916,2.764512,-50.950400,54.120010
0.452,-1.347010,2.761672,-51.063370,54.240000
0.453,-1.349099,2.758827,-51.176340,54.360000
0.454,-1.351181,2.755979,-51.289310,54.480000
0.455,-1.353258,2.753125,-51.402290,54.600000
0.456,-1.355330,2.750267,-51.515260,54.720000
0.457,-1.357395,2.747405,-51.628230,54.840000
0.458,-1.359456,2.744538,-51.741200,54.960000
0.459,-1.361510,2.741667,-51.854180,55.080000
0.460,-1.363559,2.738791,-51.967150,55.200000
0.461,-1.365603,2.735910,-52.080120,55.320000
0.462,-1.367640,2.733026,-52.193090,55.440000
0.463,-1.369672,2.730137,-52.306060,55.560000
0.464,-1.371698,2.727243,-52.419040,55.680000
0.465,-1.373719,2.724345,-52.532010,55.800000
0.466,-1.375734,2.721443,-52.644980,55.920000
0.467,-1.377743,2.718536,-52.757950,56.040000
0.468,-1.379746,2.715625,-52.870920,56.160000
0.469,-1.381744,2.712710,-52.983890,56.280000
0.470,-1.383736,2.709790,-53.096870,56.400000
0.471,-1.385722,2.706866,-53.209840,56.520000
0.472,-1.387703,2.703938,-53.322810,56.640000
0.473,-1.389678,2.701005,-53.435780,56.760000
0.474,-1.391647,2.698068,-53.548760,56.880000
0.475,-1.393610,2.695127,-53.661730,57.000000
0.476,-1.395568,2.692181,-53.774700,57.120000
0.477,-1.397519,2.689231,-53.887670,57.240010
0.478,-1.399465,2.686277,-54.000640,57.360000
0.479,-1.401405,2.683318,-54.113620,57.480000
0.480,-1.403340,2.680356,-54.226590,57.600000
0.481,-1.405268,2.677389,-54.339560,57.720000
0.482,-1.407191,2.674418,-54.452530,57.840000
0.483,-1.409107,2.671443,-54.565500,57.960000
